patient_age_group,registration_area,registration_settlement,lat,lng,registration_settlement_id,per1000
352,ЛУГАНСЬКА,БІЛОКУРАКИНЕ,49.5296544,38.7329968,set27,54.1
1618,ХАРКІВСЬКА,БАЛАКЛІЯ,49.4529684,36.834949,set28,59.4
4984,ЛЬВІВСЬКА,ЛЬВІВ,49.8259617,23.9668276,set29,6.9
2807,ДОНЕЦЬКА,БАХМУТ,48.5910597,37.9993998,set30,38.3
745,ОДЕСЬКА,БЕРЕЗІВКА,47.2038267,30.9163475,set31,77.8
254,ДОНЕЦЬКА,ДОБРОПІЛЛЯ,48.5366665,37.057271,set32,8.7
174,ЛУГАНСЬКА,БІЛОВОДСЬК,49.2035438,39.5701779,set33,22.3
614,ХМЕЛЬНИЦЬКА,ЛЕТИЧІВ,49.3830288,27.6306274,set34,59.9
71,ЖИТОМИРСЬКА,ЧОПОВИЧІ,50.8220499,28.9566109,set35,38.9
316,ДНІПРОПЕТРОВСЬКА,МЕЖОВА,48.2640122,36.7438053,set36,43.6
1974,СУМСЬКА,СУМИ,50.8898944,34.8307848,set37,7.5
444,ЗАКАРПАТСЬКА,ВЕЛИКИЙ БЕРЕЗНИЙ,48.8901026,22.4599276,set39,58.2
275,ЛЬВІВСЬКА,ХОДОРІВ,49.3978601,24.3096456,set40,29.7
1186,ХАРКІВСЬКА,ВАЛКИ,49.8371086,35.6282963,set41,135.0
430,ХАРКІВСЬКА,САХНОВЩИНА,49.1519944,35.8771294,set43,60.5
548,ВІННИЦЬКА,ГНІВАНЬ,49.102246,28.3306348,set44,44.4
1152,МИКОЛАЇВСЬКА,ЮЖНОУКРАЇНСЬК,47.8179881,31.1845825,set46,29.2
413,ХАРКІВСЬКА,КРАСНОКУТСЬК,50.0606957,35.1638876,set47,56.2
1,ЗАКАРПАТСЬКА,ІРШАВА,48.3104904,23.0284413,set48,0.1
166,ВІННИЦЬКА,ЧЕЧЕЛЬНИК,48.2154740,29.3645353,set49,33.7
1085,ХМЕЛЬНИЦЬКА,НОВА УШИЦЯ,48.8267221,27.2682327,set50,271.2
449,ТЕРНОПІЛЬСЬКА,ПІДГАЙЦІ,49.268152,25.1307328,set53,169.2
534,ЧЕРНІГІВСЬКА,ПРИЛУКИ,50.5970302,32.365875,set54,10.0
951,ЧЕРКАСЬКА,ЧИГИРИН,49.0764552,32.6631347,set55,109.9
356,ЧЕРНІВЕЦЬКА,ЧЕРНІВЦІ,48.2748101,25.934991,set56,1.3
6748,МИКОЛАЇВСЬКА,МИКОЛАЇВ,46.9677079,31.9697752,set57,14.1
12,ОДЕСЬКА,ВЕЛИКА МИХАЙЛІВКА,47.0958036,29.8448422,set59,2.2
265,ОДЕСЬКА,РЕНІ,45.4569757,28.2702712,set60,14.5
82,ВОЛИНСЬКА,ЗАБОЛОТТЯ,51.6185468,24.239436,set61,18.6
1626,ІВАНО-ФРАНКІВСЬКА,ДОЛИНА,48.9723881,23.9923655,set62,78.5
1661,ДНІПРОПЕТРОВСЬКА,СИНЕЛЬНИКОВЕ,48.3253537,35.5313006,set63,54.8
272,ХАРКІВСЬКА,ПЕЧЕНІГИ,49.8662512,36.9409003,set65,53.2
2473,ПОЛТАВСЬКА,ПОЛТАВА,49.5837268,34.5207534,set66,8.6
1,ДНІПРОПЕТРОВСЬКА,КРИВИЙ РІГ,47.9006336,33.2946486,set67,0.0
1017,ДНІПРОПЕТРОВСЬКА,ЖОВТІ ВОДИ,48.3416604,33.4945787,set69,23.3
10,ВІННИЦЬКА,ВОРОНОВИЦЯ,49.107592,28.6694482,set71,1.6
2269,КИЇВСЬКА,ПЕРЕЯСЛАВ,50.064281,31.44085,set72,84.7
1025,ХАРКІВСЬКА,КЕГИЧІВКА,49.2908673,35.7511764,set74,175.0
32,СУМСЬКА,СЕРЕДИНА-БУДА,52.1857663,34.0268377,set75,4.6
1,ХМЕЛЬНИЦЬКА,ХМЕЛЬНИЦЬКИЙ,49.4507124,27.0157378,set77,0.0
226,ЗАПОРІЗЬКА,БІЛЬМАК,47.362806,36.6529331,set78,34.2
783,КИЇВСЬКА,УКРАЇНКА,50.1381207,30.7373521,set79,48.3
292,ПОЛТАВСЬКА,ЧОРНУХИ,50.2685983,32.9351161,set81,119.6
93,ЖИТОМИРСЬКА,ЧЕРВОНЕ,49.9527773,28.8578584,set84,33.2
1674,ЗАКАРПАТСЬКА,СЕРЕДНЄ,48.6003275,22.2863686,set85,389.4
3647,ХМЕЛЬНИЦЬКА,СЛАВУТА,50.2915771,26.871083,set87,103.5
58,ЧЕРНІГІВСЬКА,БАТУРИН,51.3360086,32.8694965,set88,23.3
1,РІВНЕНСЬКА,КОРЕЦЬ,50.6232491,27.1513101,set89,0.1
19,СУМСЬКА,БІЛОПІЛЛЯ,51.1464177,34.3237289,set90,1.2
369,ЛЬВІВСЬКА,САМБІР,49.5191203,23.204143,set91,10.6
787,ХМЕЛЬНИЦЬКА,ЧЕМЕРІВЦІ,49.0089402,26.3422869,set93,152.2
955,ОДЕСЬКА,ІВАНІВКА,46.9755236,30.469358,set94,397.4
209,ТЕРНОПІЛЬСЬКА,КОЗЛІВ,49.4254167,25.1759562,set95,115.9
2671,ВОЛИНСЬКА,ЛУЦЬК,50.7537471,25.3077855,set96,12.3
523,КІРОВОГРАДСЬКА,КРОПИВНИЦЬКИЙ,48.4742754,32.2822231,set97,2.3
378,ЗАПОРІЗЬКА,ОРІХІВ,47.5780494,35.7836654,set98,26.5
1124,КИЇВСЬКА,СЛАВУТИЧ,51.5237484,30.7513441,set99,45.4
3185,ВІННИЦЬКА,ВІННИЦЯ,49.254438,28.4501494,set100,8.6
1051,ВІННИЦЬКА,ЖМЕРИНКА,49.0243654,28.1183213,set102,30.6
204,ХАРКІВСЬКА,ВАСИЩЕВЕ,49.8338541,36.3240107,set104,35.3
301,ЗАПОРІЗЬКА,ВЕСЕЛЕ,47.0208741,34.9117679,set105,31.2
236,ЧЕРНІВЕЦЬКА,ГЕРЦА,48.1528158,26.2552239,set106,112.3
325,ВІННИЦЬКА,МУРОВАНІ КУРИЛІВЦІ,48.7007039,27.5364263,set107,55.8
2908,ВІННИЦЬКА,ТРОСТЯНЕЦЬ,48.517726,29.2413902,set108,387.9
389,СУМСЬКА,НЕДРИГАЙЛІВ,50.8305647,33.8815260,set110,72.3
150,ЗАПОРІЗЬКА,ВІЛЬНЯНСЬК,47.9403225,35.4328125,set112,10.1
3057,ЛЬВІВСЬКА,МОРШИН,49.1537308,23.8652237,set114,531.3
889,ВІННИЦЬКА,КРИЖОПІЛЬ,48.3849493,28.8673367,set115,102.6
160,ЧЕРНІГІВСЬКА,ПАРАФІЇВКА,50.8775203,32.6485736,set116,71.1
2,ХЕРСОНСЬКА,ХЕРСОН,46.6672683,32.6107894,set117,0.0
385,ЧЕРНІВЕЦЬКА,ГЛИБОКА,48.0931021,25.9224603,set119,41.1
847,ВОЛИНСЬКА,КАМІНЬ-КАШИРСЬКИЙ,51.6309464,24.9521372,set120,67.9
376,ВІННИЦЬКА,НЕМИРІВ,48.9714312,28.8405374,set123,32.4
5835,ОДЕСЬКА,ОДЕСА,46.4740089,30.7583369,set124,5.7
348,КІРОВОГРАДСЬКА,ВІЛЬШАНКА,48.2358214,30.8741622,set125,75.9
5286,ЧЕРКАСЬКА,ШПОЛА,48.9969392,31.4022422,set126,318.1
557,ЛЬВІВСЬКА,ІВАНО-ФРАНКОВЕ,49.9138244,23.7376639,set127,86.9
111,ЛЬВІВСЬКА,НЕМИРІВ,50.1033388,23.4185581,set128,56.2
30,ЧЕРНІГІВСЬКА,ВАРВА,50.4891888,32.7199738,set130,3.8
428,ХЕРСОНСЬКА,ІВАНІВКА,46.7179614,34.5428845,set132,96.7
1687,КИЇВСЬКА,МИРОНІВКА,49.6768043,30.9794202,set133,148.0
781,ДНІПРОПЕТРОВСЬКА,ПЕРШОТРАВЕНСЬК,48.3493321,36.4073647,set134,28.0
2716,КИЇВСЬКА,БУЧА,50.5487893,30.2077159,set135,74.9
1204,ДОНЕЦЬКА,КОСТЯНТИНІВКА,48.5276998,37.6727814,set136,17.2
588,ТЕРНОПІЛЬСЬКА,МОНАСТИРИСЬКА,49.090503,25.1679039,set137,105.9
478,ВІННИЦЬКА,ВЕНДИЧАНИ,48.458419,27.772002,set138,128.0
231,ЛЬВІВСЬКА,ЖУРАВНО,49.258774,24.2865384,set139,67.7
404,ЧЕРКАСЬКА,КАТЕРИНОПІЛЬ,48.944271,30.992099,set141,74.2
732,ХАРКІВСЬКА,РОГАНЬ,49.8999921,36.4978285,set144,216.5
5571,ХЕРСОНСЬКА,НОВА КАХОВКА,46.7564186,33.3573204,set147,122.6
200,ЖИТОМИРСЬКА,ДОВБИШ,50.371442,27.9781397,set149,47.5
913,ЗАКАРПАТСЬКА,СВАЛЯВА,48.5487153,22.9937621,set150,53.1
611,ЛЬВІВСЬКА,СТАРИЙ САМБІР,49.4404759,23.0010578,set151,93.6
717,ВІННИЦЬКА,ТИВРІВ,49.0138268,28.5020016,set152,182.3
5011,ЖИТОМИРСЬКА,НОВОГРАД-ВОЛИНСЬКИЙ,50.5862685,27.6058241,set154,89.8
1278,ДНІПРОПЕТРОВСЬКА,ПАВЛОГРАД,48.5137772,35.8842629,set155,12.3
926,ЧЕРКАСЬКА,ЛИСЯНКА,49.2423261,30.8331688,set157,121.6
921,ДОНЕЦЬКА,ПОКРОВСЬК,48.2799808,37.1761763,set158,14.9
1820,ЛЬВІВСЬКА,ТРУСКАВЕЦЬ,49.2764496,23.5225938,set159,63.5
1794,КИЇВСЬКА,БОРОДЯНКА,50.6439148,29.926553,set161,136.4
905,ІВАНО-ФРАНКІВСЬКА,СНЯТИН,48.4511901,25.5513373,set162,91.4
4353,ЛЬВІВСЬКА,СТРИЙ,49.2665923,23.87411,set163,72.9
523,ХАРКІВСЬКА,ВЕЛИКИЙ БУРЛУК,50.059226,37.3854377,set164,140.7
145,ДНІПРОПЕТРОВСЬКА,АУЛИ,48.5482066,34.4604303,set165,35.6
240,ОДЕСЬКА,ШИРЯЄВЕ,47.3754941,30.1958353,set166,37.0
1195,КИЇВСЬКА,БЕРЕЗАНЬ,50.3179664,31.4552683,set167,72.9
1640,ЧЕРКАСЬКА,ХРИСТИНІВКА,48.8004433,29.9798383,set169,160.1
1105,ДНІПРОПЕТРОВСЬКА,ПОКРОВ,47.6588135,34.1100129,set170,28.6
1,ХАРКІВСЬКА,МАЛИНІВКА,49.8004873,36.7144868,set172,0.1
252,ДОНЕЦЬКА,АВДІЇВКА,48.1314878,37.7310622,set174,7.8
809,ВІННИЦЬКА,ЛАДИЖИН,48.6791311,29.2276257,set175,35.8
621,ЗАКАРПАТСЬКА,ЧОП,48.4306985,22.2029671,set176,70.4
725,ДНІПРОПЕТРОВСЬКА,МАРГАНЕЦЬ,47.6433949,34.6639647,set177,15.7
1,ЧЕРНІГІВСЬКА,ЧЕРНІГІВ,51.4984806,31.2801986,set180,0.0
718,ХАРКІВСЬКА,ДВОРІЧНА,49.854154,37.6740168,set185,207.6
25,ВІННИЦЬКА,ПІЩАНКА,48.209267,28.8848276,set187,4.7
678,ЗАПОРІЗЬКА,ЧЕРНІГІВКА,47.1909933,36.2197466,set188,118.5
150,ЖИТОМИРСЬКА,НАРОДИЧІ,51.1997904,29.0874395,set189,52.3
2198,ЧЕРНІВЕЦЬКА,КІЦМАНЬ,48.4307320,25.76205,set191,355.7
312,ЖИТОМИРСЬКА,КОРНИН,50.0948392,29.5382009,set192,153.9
1304,ЛУГАНСЬКА,ЛИСИЧАНСЬК,48.8616798,38.4666109,set194,13.6
878,ЧЕРКАСЬКА,ЖАШКІВ,49.2412613,30.1125297,set195,65.3
117,ВОЛИНСЬКА,ШАЦЬК,51.4967419,23.9197658,set196,22.2
279,ЗАПОРІЗЬКА,КИРИЛІВКА,46.373962,35.3750958,set198,81.7
1344,КІРОВОГРАДСЬКА,ГОЛОВАНІВСЬК,48.3818964,30.4705846,set200,231.3
13508,ТЕРНОПІЛЬСЬКА,ТЕРНОПІЛЬ,49.5490469,25.5999481,set201,60.4
241,МИКОЛАЇВСЬКА,ВЕСЕЛИНОВЕ,47.3619779,31.2411931,set203,42.2
211,ЖИТОМИРСЬКА,ЛУГИНИ,51.084345,28.4064281,set204,53.4
505,ЛУГАНСЬКА,МАРКІВКА,49.5210039,39.5620665,set205,89.2
961,ХМЕЛЬНИЦЬКА,ЯРМОЛИНЦІ,49.189578,26.8447254,set206,131.4
177,ВІННИЦЬКА,ЧЕРНІВЦІ,48.5404811,28.108548,set207,67.5
593,ХАРКІВСЬКА,БАРВІНКОВЕ,48.9206412,37.0253111,set208,71.4
589,ЧЕРКАСЬКА,ЧЕРКАСИ,49.4628997,32.0254073,set210,2.1
2990,МИКОЛАЇВСЬКА,ВОЗНЕСЕНСЬК,47.5743576,31.3157391,set211,86.9
999,ЛЬВІВСЬКА,НОВОЯВОРІВСЬК,49.9340623,23.564493,set212,32.0
1383,СУМСЬКА,КОНОТОП,51.2389363,33.199967,set213,16.2
338,ХАРКІВСЬКА,ЧКАЛОВСЬКЕ,49.7133639,36.9264674,set214,89.4
90,ЧЕРКАСЬКА,ЄРКИ,48.9802367,31.0021144,set215,22.9
228,ДОНЕЦЬКА,ГРОДІВКА,48.3177120,37.0903532,set216,95.6
608,ДОНЕЦЬКА,ВЕЛИКА НОВОСІЛКА,47.8337189,36.8339147,set217,110.9
662,ВОЛИНСЬКА,ЛОКАЧІ,50.742481,24.6457779,set218,175.4
721,ДОНЕЦЬКА,МИРНОГРАД,48.3019054,37.2599825,set219,15.2
704,ДНІПРОПЕТРОВСЬКА,ПОКРОВСЬКЕ,47.9833465,36.2353550,set220,72.3
168,СУМСЬКА,ХОТІНЬ,51.0766861,34.7717911,set221,71.1
225,КІРОВОГРАДСЬКА,НОВГОРОДКА,48.3554343,32.6517581,set222,40.2
556,ЛУГАНСЬКА,ТРОЇЦЬКЕ,49.9063899,38.2937682,set223,76.1
491,КІРОВОГРАДСЬКА,ОЛЕКСАНДРІЯ,48.6668175,33.1105523,set225,6.3
1116,ІВАНО-ФРАНКІВСЬКА,ГАЛИЧ,49.1200262,24.7371332,set227,180.2
746,ЧЕРКАСЬКА,ЧОРНОБАЙ,49.6469011,32.3298446,set228,105.1
2,ЖИТОМИРСЬКА,ЖИТОМИР,50.2677029,28.6482179,set229,0.0
279,ЛУГАНСЬКА,МІЛОВЕ,49.3756257,40.1418221,set232,48.0
1353,ТЕРНОПІЛЬСЬКА,БОРЩІВ,48.8047061,26.0481283,set233,125.2
3067,СУМСЬКА,РОМНИ,50.74821,33.4739907,set237,78.7
1028,ПОЛТАВСЬКА,ЗІНЬКІВ,50.2064058,34.3520988,set238,109.5
173,СУМСЬКА,ВОРОНІЖ,51.7814288,33.4578142,set239,25.6
337,ОДЕСЬКА,ОКНИ,47.5451258,29.4474026,set240,64.8
3622,КИЇВСЬКА,СКВИРА,49.7360892,29.6678125,set241,231.8
153,МИКОЛАЇВСЬКА,БЕРЕЗАНКА,46.8521331,31.3946414,set243,37.6
2911,ДНІПРОПЕТРОВСЬКА,НОВОМОСКОВСЬК,48.636928,35.2532245,set244,41.4
4190,ЗАПОРІЗЬКА,БЕРДЯНСЬК,46.7547198,36.7933387,set246,38.4
892,КІРОВОГРАДСЬКА,ПЕТРОВЕ,48.3300936,33.2521805,set247,125.8
1651,КІРОВОГРАДСЬКА,ДОЛИНСЬКА,48.1059283,32.7782257,set248,88.6
161,СУМСЬКА,ЗНОБ-НОВГОРОДСЬКЕ,52.2658994,33.6007677,set249,84.3
214,ЗАПОРІЗЬКА,МЕЛІТОПОЛЬ,46.8499448,35.3626794,set250,1.4
1610,ХМЕЛЬНИЦЬКА,ІЗЯСЛАВ,50.115794,26.8232578,set251,98.6
1361,РІВНЕНСЬКА,ГОЩА,50.606322,26.6856229,set252,255.9
1990,ЗАПОРІЗЬКА,МИХАЙЛІВКА,47.2695236,35.2205088,set254,168.2
819,КИЇВСЬКА,ФАСТІВ,50.0860953,29.9320532,set255,18.0
819,ЗАПОРІЗЬКА,ПРИМОРСЬК,46.7242279,36.3585015,set256,71.2
1257,ОДЕСЬКА,АРЦИЗ,46.0071144,29.4328237,set258,85.7
1066,ДНІПРОПЕТРОВСЬКА,ПІДГОРОДНЕ,48.5733001,35.1127727,set259,54.6
2463,РІВНЕНСЬКА,ДУБНО,50.3977796,25.7578676,set260,65.7
3122,ТЕРНОПІЛЬСЬКА,БУЧАЧ,49.0626703,25.3974353,set261,252.2
1863,ХМЕЛЬНИЦЬКА,НЕТІШИН,50.3393963,26.6560409,set262,50.7
213,ОДЕСЬКА,САВРАНЬ,48.1342639,30.0829932,set265,34.5
913,ЧЕРНІВЕЦЬКА,ХОТИН,48.5054372,26.4992565,set266,100.0
215,ЧЕРНІВЕЦЬКА,КЕЛЬМЕНЦІ,48.4557701,26.8381564,set268,30.1
639,КІРОВОГРАДСЬКА,УСТИНІВКА,47.9618782,32.5369935,set269,190.2
256,ДНІПРОПЕТРОВСЬКА,ІЛАРІОНОВЕ,48.4045786,35.2793151,set270,29.0
927,ВІННИЦЬКА,КАЛИНІВКА,49.5387455,28.4909131,set271,49.2
874,ПОЛТАВСЬКА,ОРЖИЦЯ,49.7823801,32.6831136,set272,252.5
1194,ХЕРСОНСЬКА,ГЕНІЧЕСЬК,46.1672463,34.811909,set273,61.5
845,ВОЛИНСЬКА,ГОРОХІВ,50.4966282,24.7614707,set274,93.3
687,ЧЕРКАСЬКА,ДРАБІВ,49.968918,32.1503188,set275,110.0
2756,ПОЛТАВСЬКА,ГАДЯЧ,50.3749911,33.9825804,set276,118.1
2171,ЗАКАРПАТСЬКА,ВИНОГРАДІВ,48.1377254,23.017777,set277,85.5
2662,ЛУГАНСЬКА,СВАТОВЕ,49.4068891,38.1632734,set278,159.3
1333,ВІННИЦЬКА,ШАРГОРОД,48.7417418,28.0739837,set280,189.5
471,ВОЛИНСЬКА,ТУРІЙСЬК,51.0842815,24.5438187,set281,80.7
159,ЛЬВІВСЬКА,ЩИРЕЦЬ,49.6438474,23.8547509,set282,27.7
2,ІВАНО-ФРАНКІВСЬКА,ЯРЕМЧЕ,48.4478948,24.5552093,set284,0.2
67,СУМСЬКА,КИРИКІВКА,50.3601423,35.119888,set285,24.7
69,ЛЬВІВСЬКА,ПУСТОМИТИ,49.7165367,23.9071227,set287,7.3
556,ХАРКІВСЬКА,БОРОВА,49.3739843,37.6230842,set288,105.4
100,ЛЬВІВСЬКА,ВЕЛИКІ МОСТИ,50.2423274,24.1444885,set289,16.0
200,ЗАПОРІЗЬКА,КОМИШУВАХА,47.7147134,35.531759,set290,38.3
3,РІВНЕНСЬКА,РОКИТНЕ,51.2846517,27.2020222,set291,0.5
241,ОДЕСЬКА,ЗАХАРІВКА,47.3393984,29.7555783,set294,45.9
130,ЖИТОМИРСЬКА,ГОРОДНИЦЯ,50.8105808,27.3166945,set296,24.7
2329,РІВНЕНСЬКА,ЗДОЛБУНІВ,50.5089112,26.2566443,set297,93.9
160,ЖИТОМИРСЬКА,ХОРОШІВ,50.5937095,28.4410718,set299,21.1
945,ПОЛТАВСЬКА,ДИКАНЬКА,49.8149707,34.5420404,set300,124.8
1517,ХАРКІВСЬКА,ЗМІЇВ,49.6777603,36.355126,set303,106.4
126,ІВАНО-ФРАНКІВСЬКА,ВОЙНИЛІВ,49.1341689,24.4955564,set307,47.9
594,ДНІПРОПЕТРОВСЬКА,ПЕТРИКІВКА,48.7155615,34.6197379,set310,131.4
3148,ВОЛИНСЬКА,КОВЕЛЬ,51.2138071,24.7129293,set311,46.1
844,ЛЬВІВСЬКА,МИКОЛАЇВ,49.5263992,23.9707088,set312,57.1
1272,ДОНЕЦЬКА,ДРУЖКІВКА,48.609403,37.5131589,set313,22.7
963,СУМСЬКА,КРОЛЕВЕЦЬ,51.5390453,33.3653211,set314,42.5
764,ДОНЕЦЬКА,ЛИМАН,48.98184,37.8211401,set315,36.8
1504,ДОНЕЦЬКА,МАРІУПОЛЬ,47.1379984,37.6018945,set316,3.4
2529,ХМЕЛЬНИЦЬКА,СТАРОКОСТЯНТИНІВ,49.7586381,27.1994941,set317,73.4
3333,ЛУГАНСЬКА,СТАРОБІЛЬСЬК,49.2805498,38.8909548,set319,200.2
398,ІВАНО-ФРАНКІВСЬКА,ТИСМЕНИЦЯ,48.9004401,24.8454019,set320,43.4
4904,ЖИТОМИРСЬКА,БЕРДИЧІВ,49.9042002,28.5857584,set321,65.5
3513,ТЕРНОПІЛЬСЬКА,ТЕРЕБОВЛЯ,49.2991724,25.6861839,set322,263.6
1006,ПОЛТАВСЬКА,ПИРЯТИН,50.2461665,32.5083099,set324,66.0
446,ІВАНО-ФРАНКІВСЬКА,ЛАНЧИН,48.5511446,24.745044,set325,56.6
1394,ТЕРНОПІЛЬСЬКА,ЗАЛІЩИКИ,48.6473715,25.7310063,set326,153.4
2702,ХЕРСОНСЬКА,БІЛОЗЕРКА,46.6267067,32.4413727,set327,284.6
779,ДНІПРОПЕТРОВСЬКА,СЛОБОЖАНСЬКЕ,48.5340537,35.0734642,set328,56.1
212,ЛУГАНСЬКА,НОВОПСКОВ,49.5341366,39.1204195,set329,22.2
2472,ЗАПОРІЗЬКА,ПОЛОГИ,47.4808069,36.2479847,set330,132.5
991,ПОЛТАВСЬКА,ЛОХВИЦЯ,50.3580336,33.2813082,set331,87.9
151,ВІННИЦЬКА,ГЛУХІВЦІ,49.7763132,28.7268555,set333,47.0
2940,ІВАНО-ФРАНКІВСЬКА,БОГОРОДЧАНИ,48.8111954,24.5439823,set334,357.7
884,ЖИТОМИРСЬКА,МАЛИН,50.7744854,29.2198268,set335,34.2
688,ХМЕЛЬНИЦЬКА,СТАРА СИНЯВА,49.6041187,27.6138158,set337,131.8
4205,ПОЛТАВСЬКА,ГОРІШНІ ПЛАВНІ,49.0139465,33.6387978,set340,82.7
203,ДОНЕЦЬКА,ОЛЕКСАНДРІВКА,48.7076481,36.9218626,set341,478.8
2158,ІВАНО-ФРАНКІВСЬКА,ГОРОДЕНКА,48.6643159,25.4921764,set342,237.9
2506,ВОЛИНСЬКА,НОВОВОЛИНСЬК,50.7247746,24.1715688,set343,49.1
816,ІВАНО-ФРАНКІВСЬКА,КОСІВ,48.3210015,25.1058044,set344,96.1
1128,ЧЕРКАСЬКА,ТАЛЬНЕ,48.8939866,30.6856954,set346,85.7
421,ХАРКІВСЬКА,ШЕВЧЕНКОВЕ,49.701322,37.1781635,set347,62.1
836,ВОЛИНСЬКА,МАНЕВИЧІ,51.2856168,25.5354539,set348,77.9
1415,КИЇВСЬКА,ІВАНКІВ,50.9433077,29.9000401,set350,136.5
3533,ТЕРНОПІЛЬСЬКА,ЧОРТКІВ,49.0344913,25.760377,set351,123.2
1089,ОДЕСЬКА,БІЛГОРОД-ДНІСТРОВСЬКИЙ,46.1695705,30.3511262,set354,22.4
582,ЖИТОМИРСЬКА,ОВРУЧ,51.3235045,28.8001014,set356,37.4
661,РІВНЕНСЬКА,ОСТРОГ,50.3626421,26.5131116,set357,42.8
547,ЗАПОРІЗЬКА,РОЗІВКА,47.3903089,37.0710228,set358,177.3
459,ЖИТОМИРСЬКА,ЛЮБАР,49.9258853,27.7489568,set359,223.2
2217,ХЕРСОНСЬКА,БЕРИСЛАВ,46.8295426,33.4001728,set360,181.0
1250,ХМЕЛЬНИЦЬКА,ДУНАЇВЦІ,48.8849162,26.8620975,set361,78.5
20,ЗАКАРПАТСЬКА,ХУСТ,48.1766094,23.295417,set362,0.7
3986,ТЕРНОПІЛЬСЬКА,БЕРЕЖАНИ,49.4460987,24.9340382,set363,228.7
1858,ВІННИЦЬКА,ХМІЛЬНИК,49.6380821,28.1011498,set364,67.8
888,ІВАНО-ФРАНКІВСЬКА,РОГАТИН,49.4148849,24.6063085,set365,115.1
178,СУМСЬКА,ЯМПІЛЬ,51.9469387,33.7839971,set366,40.4
2553,ТЕРНОПІЛЬСЬКА,КРЕМЕНЕЦЬ,50.1162559,25.6930064,set367,122.6
1037,ЧЕРНІГІВСЬКА,БАХМАЧ,51.1825518,32.8231929,set369,59.6
612,ІВАНО-ФРАНКІВСЬКА,ТЛУМАЧ,48.8702997,24.9941214,set371,69.5
487,ЛЬВІВСЬКА,ГОРОДОК,49.7859483,23.6519408,set372,30.1
388,КИЇВСЬКА,ЗГУРІВКА,50.4837972,31.7917805,set373,78.0
467,ЛЬВІВСЬКА,ЯВОРІВ,49.9416106,23.388372,set374,36.1
2384,КИЇВСЬКА,БРОВАРИ,50.5113172,30.7656228,set375,22.0
78,ЧЕРНІВЕЦЬКА,ПУТИЛА,48.0032475,25.0822771,set376,22.8
12,ЖИТОМИРСЬКА,ІРШАНСЬК,50.7511658,28.7271202,set378,1.8
1177,ВІННИЦЬКА,ІЛЛІНЦІ,49.1156880,29.196032,set379,104.9
2366,РІВНЕНСЬКА,ВАРАШ,51.3506043,25.8554167,set380,56.0
119,КІРОВОГРАДСЬКА,ПОМІЧНА,48.2465578,31.4060472,set381,13.4
183,РІВНЕНСЬКА,КЛЕСІВ,51.3157463,26.895772,set382,39.5
1258,ПОЛТАВСЬКА,ВЕЛИКА БАГАЧКА,49.7898411,33.7227175,set383,232.7
